State,City,Place,Distance,Place_desc,Distance_km
karnataka,coorg,coffee plantations in coorg, 3 out of 34  places to visit in Coorg ,a walk through the beautiful plantation estates is one of the most wonderful things to do in coorg.  the region is known for its coffee plantations that also have a variety of spice plants and vanilla trees. most of these coffee estates provide a paid guided walking tour and have stores from where you can buy coffee and spices.,3.0
karnataka,coorg,golden temple (namdroling monastery), 0 km  from city center ,"namdroling monastery, situated at a distance of 34 km from the coorg, is the largest teaching centre of the school of tibetan buddhism known as nyingmapa. popularly known as the 'golden temple', the namdroling monastery holds some excellent examples of tibetan architecture and artwork, as seen with the elaborately decorated temple tower and ornate outer walls, intricately adorned with beautiful murals.",0.0
karnataka,coorg,trek & camp at tadiandamol peak, 21 km  from city center ,"tadiandamol is the highest mountain peak in coorg, at an elevation of 1748m. most tourists interested in trekking are drawn to this place as the journey is difficult, but the view from the top, unparalleled.",21.0
karnataka,coorg,take a dip under the iruppu falls, 58 km  from city center ,"iruppu falls is a  fresh water cascade located in the brahmagiri mountain range, in the kodagu district of karnataka. these are also known as the lakshmana tirtha falls, a name derived from the name of the tributary of cauvery which starts from these falls. a major tourist attraction, it attracts a large number of tourists because of their mesmerizing natural beauty.",58.0
karnataka,coorg,talacauvery, 30 km  from city center ,"talakaveri is the source of the river kaveri, located on the brahmagiri hill near bhagamandala.  kodavas erected a tank which is now considered as its origin. it is believed that the river originates as a spring feeding a tank or a kundike and then flows underground to re-emerge as kaveri some distance away. the place has a temple dedicated to the goddess kaveriamma is located next to the tank and bathing in it on special occasions is considered holy.",30.0
karnataka,coorg,take a walk in madikeri fort, 0 km  from city center ,"built in the 17th century by muddu raja using mud, the structure was rebuilt by tipu sultan in granite.",0.0
karnataka,coorg,"white river rafting in barapole river, coorg", 49 km  from city center ,"barapole river is a famous white river rafting destination in coorg. the white frothy river with speedy waters and rapids, flowing through beautiful landscapes, makes for an ideal river rafting experience. white water rafting is organized in upper barapole in kithu-kakkatu river which is a strong catchment area for the monsoons, thus providing some of the most challenging stretches of rapids. the barapole river surges through dense forests and offers rafting participants a breathtaking view of the brahmagiri wildlife sanctuary.",49.0
karnataka,coorg,dubare elephant camp, 19 km  from city center ,"once a training site for elephants of the famous dasara procession in mysore, the dubare elephant camp offers a unique adventure to visitors by allowing them the experience of living in coexistence with the trained elephants on-site.",19.0
karnataka,coorg,omkareshwara temple, 1 km  from city center ,"depicting both islamic and gothic architecture, omkareshwara temple was built in 1820 by lingarajendra as a dedication to lord shiva.",1.0
karnataka,coorg,honnamana kere lake, 27 km  from city center ,"known to be the biggest lake in coorg, honnamana kere lake has spiritual as well as historical significance. the lake is surrounded by hills, coffee plantations and man-made caves. named after goddess honnamana, adjacent to this lake is a temple dedicated to the goddess.",27.0
karnataka,coorg,brahmagiri wildlife sanctuary, 60 km  from city center ,"the brahmagiri wildlife sanctuary covers 181 square km and has got its name from the brahmagiri park, which is the highest peak with a height of 1608 m. the primary vegetation of the sanctuary includes evergreen and semi-evergreen forests, shoal forest patches in grasslands and bamboos. the sanctuary was established in the year 1974 and is surrounded by plantations of coffee and cardamom.",60.0
karnataka,coorg,gaddige raja's tomb, 1 km  from city center ,"built in the indo-saracenic style of architecture, this beautiful structure of gaddige raja's tomb is the mortal remains of the kodavad royalty. these tombs date back to 1820.",1.0
karnataka,coorg,trekking, 61 km  from city center ,"you could go for a professionally arranged trek or if you just want to wander in the greens on your own, that too would be an equally enjoyable experience.",61.0
karnataka,coorg,take a safari through nagarhole national park, 63 km  from city center ,"with its diversity of flora and fauna, the nagarhole national park is one of the best known wildlife reserves in india. it houses not just multiple species of plants and shrubbery but also mammals, reptiles, crawlers and rare birds.",63.0
karnataka,coorg,engage in the adventures around somwarpet, 22 km  from city center ,"somwarpet, a town in the north east of the coorg district, has several tourist attractions, the main being beelur golf club along with the mallalli falls and the pushpagiri wildlife sanctuary.",22.0
karnataka,coorg,honey valley - nilakandi falls, 25 km  from city center ,the nilakandi falls are located the midst of the dense tropical forests of coorg. it is a picturesque and serene waterfall that lends trekkers a wonderful waterfall experience. honey valley is a private resort in which this beautiful waterfall is located.,25.0
karnataka,coorg,ayurvedic treatments, 46 km  from city center ,you get a whole range of rejuvenating ayurvedic massage and spa packages in coorg. ayurjeevan is one of the most famous ayurvedic therapy center.,46.0
karnataka,coorg,pushpagiri wildlife sanctuary, 30 km  from city center ,pushpagiri is one of the 21 wildlife sanctuaries in karnataka and home to many rare and endangered species of birds. the kumara parvat peak lies here. this national park is also a proposed world heritage site.,30.0
